corename,species,latitude,longitude,d18oc,temp,temp_ann,d18osw
86.01,bulloides,53.4,-27.48,1.4,8.642265892028808,10.468277931213379,0.35287103056907654
86.03,bulloides,50.15,-27.03,1.2,10.748785400390625,12.398990631103516,0.4516538977622986
86.05,bulloides,46.88,-25.35,0.76,13.188590812683106,14.819279670715332,0.6442744731903076
86.07,bulloides,43.92,-24.97,0.64,14.353941917419434,16.53485107421875,0.7181207537651062
86.07,ruberwhite,43.92,-24.97,0.18,14.353941917419434,16.53485107421875,0.7181207537651062
86.08,bulloides,42.25,-25.67,0.74,14.657856559753418,16.887971878051758,0.7426038980484009
86.08,ruberwhite,42.25,-25.67,0.09,14.657856559753418,16.887971878051758,0.7426038980484009
86.09,bulloides,40.8,-27.45,0.87,15.762500381469726,18.047815322875977,0.8029398918151855
86.09,ruberwhite,40.8,-27.45,0.21,15.762500381469726,18.047815322875977,0.8029398918151855
86.1,bulloides,37.12,-30.03,0.47,16.660009384155273,19.25408172607422,0.9457144737243652
86.11,bulloides,35.57,-32.55,0.5,17.758063507080077,20.292518615722656,1.0453903675079346
86.11,ruberwhite,35.57,-32.55,-0.09,17.758063507080077,20.292518615722656,1.0453903675079346
86.13,bulloides,32.77,-34.7,1.11,19.69016342163086,22.009674072265625,1.1409411430358887
86.13,ruberwhite,32.77,-34.7,-0.14,19.69016342163086,22.009674072265625,1.1409411430358887
86.14,bulloides,31.43,-36.25,0.87,20.043810653686524,22.54979705810547,1.181870937347412
86.14,ruberwhite,31.43,-36.25,-0.24,20.043810653686524,22.54979705810547,1.181870937347412
86.15,bulloides,30.48,-36.95,0.3,20.434005737304688,22.549619674682617,1.2037543058395386
88.01,bulloides,59.71,-27.36,1.72,7.780341386795044,9.104955673217773,0.30823174118995667
88.02,bulloides,57.9,-25.96,1.76,8.325444221496582,9.796502113342285,0.35698753595352173
88.03,bulloides,56.44,-27.8,1.72,8.115612697601318,9.63902759552002,0.32735615968704224
88.04,bulloides,55.01,-28.27,1.44,7.918026542663574,9.589369773864746,0.3122713565826416
88.05,bulloides,53.59,-27.12,1.3,8.642265892028808,10.468277931213379,0.35287103056907654
88.06,bulloides,51.41,-25.76,1.17,10.224335289001464,11.943882942199707,0.4394865334033966
88.07,bulloides,50.54,-26.55,1.05,10.8097713470459,12.496331214904785,0.4638092815876007
88.09,bulloides,48.39,-25.13,0.59,12.040067863464355,13.816155433654785,0.571251392364502
88.11,bulloides,45.4,-25.43,0.41,13.472089385986328,15.396113395690918,0.6713877320289612
88.11,ruberwhite,45.4,-25.43,0.02,13.472089385986328,15.396113395690918,0.6713877320289612
88.12,bulloides,44.14,-24.92,0.67,14.059404563903808,16.179386138916016,0.6947681307792664
88.12,ruberwhite,44.14,-24.92,0.03,14.059404563903808,16.179386138916016,0.6947681307792664
88.13,bulloides,42.87,-25.26,0.65,14.657856559753418,16.887971878051758,0.7426038980484009
88.13,ruberwhite,42.87,-25.26,0.0,14.657856559753418,16.887971878051758,0.7426038980484009
88.14,bulloides,40.41,-25.75,0.85,15.10860595703125,17.529193878173828,0.794248104095459
88.14,ruberwhite,40.41,-25.75,0.27,15.10860595703125,17.529193878173828,0.794248104095459
88.15,bulloides,38.739999999999995,-25.025,0.69,15.61371898651123,18.227548599243164,0.8486621379852295
88.15,ruberwhite,38.739999999999995,-25.025,0.025,15.61371898651123,18.227548599243164,0.8486621379852295
88.17,bulloides,34.629999999999995,-29.755000000000003,0.885,18.296161270141603,20.732091903686523,1.0485824346542358
88.17,ruberwhite,34.629999999999995,-29.755000000000003,0.045,18.296161270141603,20.732091903686523,1.0485824346542358
88.18,bulloides,33.75,-32.16,1.3,19.017471694946288,21.42778968811035,1.094846487045288
88.18,ruberwhite,33.75,-32.16,0.05,19.017471694946288,21.42778968811035,1.094846487045288
88.19,bulloides,31.31,-30.48,0.9,19.677993774414062,21.811010360717773,1.1323177814483643
88.19,ruberwhite,31.31,-30.48,-0.24,19.677993774414062,21.811010360717773,1.1323177814483643
90.01,bulloides,58.5,-20.49,1.85,9.028389930725098,10.240084648132324,0.4058992266654968
90.02,bulloides,53.06,-20.8,1.22,10.351679801940918,11.892971992492676,0.4599928855895996
90.03,bulloides,47.67,-20.81,0.77,12.592466163635255,14.341780662536621,0.611230194568634
90.04,bulloides,47.17,-21.39,0.97,12.691607666015624,14.508557319641113,0.6101452112197876
90.05,bulloides,45.99,-23.85,0.68,13.109008407592773,15.273015022277832,0.6715365648269653
90.07,bulloides,46.29,-23.6,1.3,12.996413803100586,14.684576988220215,0.6469382047653198
90.08,bulloides,46.21,-23.72,0.62,12.996413803100586,14.684576988220215,0.6469382047653198
90.1,bulloides,45.35,-27.15,0.86,13.662530517578125,15.651154518127441,0.6697179079055786
90.11,bulloides,45.0,-24.66,0.47,13.455467796325683,15.258658409118652,0.6711506247520447
90.13,bulloides,44.0,-20.02,0.7,13.254312705993652,15.464749336242676,0.6897323131561279
90.15,bulloides,47.62,-20.92,1.11,12.592466163635255,14.341780662536621,0.611230194568634
16301,bulloides,67.6908,11.0333,1.82,5.56483211517334,7.764646053314209,0.09143950045108795
17961,ruberwhite,8.51,112.33,-3.04,,28.055404663085938,0.1510031372308731
18381,ruberwhite,7.48,109.12,-3.0,,28.052156448364258,0.14446993172168732
18387,ruberwhite,8.1,110.63,-3.19,,28.233991622924805,0.151032492518425
18393,ruberwhite,9.75,109.12,-2.965,,27.86009407043457,0.1534312516450882
18395,ruberwhite,9.98,109.47,-3.225,,27.86009407043457,0.1534312516450882
18423,ruberwhite,16.27,108.65,-2.645,,26.43898582458496,0.18048915266990662
124-769A,ruberwhite,8.79,121.29,-2.57,,28.52269172668457,0.23148541152477264
130-806B,sacculifer,0.32,159.36,-1.98,29.301958084106445,29.301958084106445,0.28499311208724976
16302-1,bulloides,67.75,11.1838,1.82,5.56483211517334,7.764646053314209,0.09143950045108795
16304-1,bulloides,68.2633,12.3417,2.06,5.837855815887451,7.732532501220703,0.1357610821723938
16305-1/2,bulloides,68.232,12.475,1.82,5.837855815887451,7.732532501220703,0.1357610821723938
16306-3,bulloides,68.185,12.3,1.38,5.837855815887451,7.732532501220703,0.1357610821723938
